hero1,value
24-HOUR MAN/EMMANUEL,3
3-D MAN/CHARLES CHAN,50
4-D MAN/MERCURIO,39
8-BALL/,9
A,8
A'YIN,18
"ABBOTT, JACK",6
ABCISSA,18
ABEL,15
ABOMINATION | MUTANT,24
ABOMINATION/EMIL BLO,187
ABOMINATRIX,12
ABRAXAS,12
ABSALOM,22
ABSORBING MAN | MUTA,22
ABSORBING MAN/CARL C,460
ACBA,18
"ACHEBE, REVEREND DOC",77
ACHILLES II/HELMUT,74
ACROBAT/CARL ZANTE,6
"ADAM 3,031",21
ADAM X,15
"ADAMS, CINDY",64
"ADAMS, CONGRESSMAN H",3
"ADAMS, GEORGE",2
"ADAMS, MARTHA",5
"ADAMS, NICOLE NIKKI",115
"ADAMSON, JASON",10
"ADAMSON, REBECCA",5
ADMIRAL PROTOCOL/,40
ADORA,73
ADORA CLONE,13
ADRIA,10
ADVA,52
ADVENT/KYLE GROBE,29
ADVERSARY,89
AEGIS/TREY ROLLINS,76
AENTAROS,35
AFTERLIFE,1
AGAMEMNON,5
AGAMEMNON II/ANDREI ,1
AGAMEMNON III/,107
AGAMOTTO,39
"AGARN, CAPT.",3
AGED GENGHIS,20
"AGEE, DR. AUBREY",36
"AGEE, REBECCA",8
AGENT 18/JACK TRUMAN,16
AGENT AXIS/,28
AGENT-X/,1
AGGAMON,1
AGINAR,36
AGON,7
AGONY/,15
"AGUIRRE, ISOBEL",16
AHAB/RORY CAMPBELL,81
AHQLAU,35
AHURA,64
AI-CHIA,4
AINET,8
AIR WALKER/ARLO SAMU,2
AIR-WALKER/GABRIEL L,24
AIRBORNE/,21
AIREO/AEOLUS [INHUMA,136
AJAK/TECUMOTZIN [ETE,188
AJAX,147
AJAX II,13
AJES'HA,7
AKAFE,10
AKULIA,2
"AKUTAGAWA, OSAMU",4
AL-KHALAD,5
ALANYA,1
ALBERIK,8
ALBERT,79
ALBINO/DR. AUGUSTA S,1
"ALBUQUERQUE, JEREMIA",6
ALCHEMY/THOMAS JONES,54
"ALDEN, PROF. MEREDIT",28
"ALEGRIA, RICHIE",16
"ALEXANDER, CALEB",53
"ALEXANDER, CARRIE",110
ALFY,31
